instance,description,status,plan,error
instance-0.pddl,"blocks: a, b, c.

initial state:
your hand is empty.

goal state:
a is on b.
b is on c.",ok,"unstack a from c;
put down a;
pick up b;
stack b on c;
pick up a;
stack a on b;
",
instance-1.pddl,"blocks: a, b, c.

initial state:
your hand is empty.

goal state:
b is on a.",ok,"unstack c from b;
put down c;
pick up b;
stack b on a;
",
instance-2.pddl,"blocks: a, b, c.

initial state:
your hand is empty.

goal state:
a is on c.
c is on b.",ok,"unstack a from b;
put down a;
pick up c;
stack c on b;
pick up a;
stack a on c;
",
instance-3.pddl,"blocks: a, b, c.

initial state:
your hand is empty.

goal state:
b is on a.",ok,"unstack a from b;
put down a;
pick up b;
stack b on a;
",
instance-4.pddl,"blocks: a, b, c.

initial state:
your hand is empty.

goal state:
b is on a.
c is on b.",ok,"unstack a from c;
put down a;
unstack c from b;
put down c;
pick up b;
stack b on a;
pick up c;
stack c on b;
",
instance-5.pddl,"blocks: a, b, c.

initial state:
your hand is empty.

goal state:
a is on c.",ok,"unstack c from a;
put down c;
unstack a from b;
stack a on c;
",
instance-6.pddl,"blocks: a, b, c.

initial state:
your hand is empty.

goal state:
a is on b.
c is on a.",ok,"unstack a from c;
stack a on b;
pick up c;
stack c on a;
",
instance-7.pddl,"blocks: a, b, c.

initial state:
your hand is empty.

goal state:
c is on a.",ok,"unstack b from a;
put down b;
pick up c;
stack c on a;
",
instance-8.pddl,"blocks: a, b, c.

initial state:
your hand is empty.

goal state:
a is on b.
b is on c.",ok,"unstack c from a;
put down c;
unstack a from b;
put down a;
pick up b;
stack b on c;
pick up a;
stack a on b;
",
instance-9.pddl,"blocks: a, b, c.

initial state:
your hand is empty.

goal state:
c is on b.",ok,"unstack a from b;
put down a;
pick up c;
stack c on b;
",
instance-10.pddl,"blocks: a, b, c.

initial state:
your hand is empty.

goal state:
a is on c.
c is on b.",ok,"pick up c;
stack c on b;
pick up a;
stack a on c;
",
instance-11.pddl,"blocks: a, b, c.

initial state:
your hand is empty.

goal state:
b is on a.
c is on b.",ok,"unstack c from a;
put down c;
unstack a from b;
put down a;
pick up b;
stack b on a;
pick up c;
stack c on b;
",
instance-12.pddl,"blocks: a, b, c.

initial state:
your hand is empty.

goal state:
b is on a.",ok,"unstack c from a;
put down c;
pick up b;
stack b on a;
",
instance-13.pddl,"blocks: a, b, c.

initial state:
your hand is empty.

goal state:
b is on c.
c is on a.",ok,"unstack c from b;
stack c on a;
pick up b;
stack b on c;
",
instance-14.pddl,"blocks: a, b, c.

initial state:
your hand is empty.

goal state:
a is on c.
b is on a.",ok,"unstack b from c;
put down b;
unstack c from a;
put down c;
pick up a;
stack a on c;
pick up b;
stack b on a;
",
instance-15.pddl,"blocks: a, b, c.

initial state:
your hand is empty.

goal state:
a is on c.
c is on b.",ok,"unstack a from c;
put down a;
pick up c;
stack c on b;
pick up a;
stack a on c;
",
instance-16.pddl,"blocks: a, b, c.

initial state:
your hand is empty.

goal state:
a is on b.
c is on a.",ok,"unstack b from c;
put down b;
unstack c from a;
put down c;
pick up a;
stack a on b;
pick up c;
stack c on a;
",
instance-17.pddl,"blocks: a, b, c.

initial state:
your hand is empty.

goal state:
a is on c.",ok,"unstack b from c;
put down b;
pick up a;
stack a on c;
",
